#id	month	rating	games
45102635	2016-09	1585	9
45115753	2016-09	1224	1
36073563	2016-09	1066	15
36054046	2016-09	1131	18
45107785	2016-10	1319	4
45143404	2016-10	1062	7
26075954	2016-10	1616	1
45120919	2016-10	1075	4
36075744	2016-10	1054	8
36081264	2016-10	1111	6
45116270	2016-10	1135	2
45101698	2016-10	1084	1
36049336	2016-10	1240	5
36037370	2016-10	1065	5
45105804	2016-10	1075	2
36043141	2016-10	1069	9
36033995	2016-10	1399	5
36016950	2016-10	1334	8
36051250	2016-10	1155	5
36085111	2016-10	1075	3
36082813	2016-11	1069	16
36083364	2016-11	1036	6
26075954	2016-11	1488	10
45131325	2016-11	1251	5
45114994	2016-11	1105	4
45106746	2016-11	1028	33
45150737	2016-11	1143	6
36051756	2016-11	1242	6
36022365	2016-11	1303	3
36097993	2016-11	1080	4
36083372	2016-11	1320	5
36016691	2016-11	1425	10
36051217	2016-11	1381	7
45102104	2016-11	1091	10
36097926	2016-11	1254	9
45118280	2016-11	1114	8
45126798	2016-11	1092	3
45111928	2016-11	1067	8
36094366	2016-11	1170	5
36044644	2016-11	1558	7
36098841	2016-11	1043	6
36054038	2016-11	1315	4
36074918	2016-11	1288	7
36056847	2016-11	1179	8
45107513	2016-11	1119	5
45106622	2016-11	1242	8
36056855	2016-11	1224	3
45137013	2016-11	1389	10
36043141	2016-11	1037	4
45117373	2016-11	1077	2
45150753	2016-11	1378	7
36057290	2016-11	1150	7
36098477	2016-11	1096	7
45101418	2016-11	1291	6
36090670	2016-11	1052	3
36064378	2016-11	1155	4
45149747	2016-11	1029	5
45108382	2016-11	1266	3
45102775	2016-11	1214	5
45102635	2016-11	1530	14
45115753	2016-11	1264	4
36054054	2016-11	1058	9
26075954	2016-12	1568	3
36037354	2016-12	1266	5
45114994	2016-12	1076	2
36097993	2016-12	1037	6
36083372	2016-12	1299	2
36016691	2016-12	1458	1
36075744	2016-12	1078	1
36056839	2016-12	1224	5
36051217	2016-12	1395	3
45118280	2016-12	1104	3
36082066	2016-12	1334	6
36081264	2016-12	1102	5
45106614	2016-12	1228	6
36094366	2016-12	1218	6
36088200	2016-12	1097	1
36099490	2016-12	1100	6
36022101	2016-12	1168	7
36054038	2016-12	1331	6
36088218	2016-12	1161	2
36056847	2016-12	1155	1
45125244	2016-12	1207	1
54144949	2016-12	1191	5
36099783	2016-12	1295	5
45101698	2016-12	1095	4
36081280	2016-12	1029	4
36033995	2016-12	1401	8
36042080	2016-12	1343	8
36000310	2016-12	1645	18
36082279	2016-12	1331	2
36016950	2016-12	1320	9
36037397	2016-12	1158	7
45101418	2016-12	1299	1
36090670	2016-12	1186	8
36064378	2016-12	1140	2
45100446	2016-12	1257	5
36067431	2016-12	1258	8
45147752	2016-12	1188	2
45108382	2016-12	1272	2
36067440	2016-12	1153	2
36073938	2016-12	1141	3
45122580	2016-12	1251	5
36082805	2017-01	1218	1
36082813	2017-01	1075	5
